DATE_TIME,REGION,COUNTY,SCENE,latitude,longitude,Type of attack,Gender,type by number
12/14/2020,West Kenya,Homa Bay,OYUGIS-KISUMU ROAD,-0.5078963,34.7381662,Phishing,male,1
1/1/2020,North Rift,Baringo,ELDAMA RAVINE,0.053037,35.729768,Phishing,male,1
7/24/2020,Lower Eastern,Kajiado,ALONG KISERIAN,-1.4251869,36.6936512,Phishing,male,1
12/13/2020,Lower Eastern,Nairobi,HAILE SELLASIE,-0.023559,37.906193,Phishing,male,1
4/20/2021,Coast,Kwale,KWALE,-4.1816115,39.4605612,Phishing,male,1
11/22/2020,Lower Eastern,Nairobi,ALONG NGONG,-1.3562118,36.6687545,Phishing,male,1
3/6/2021,West Kenya,Kisumu,ONGOU AREA,-0.023559,37.906193,Phishing,male,1
10/24/2020,Lower Eastern,Nairobi,MUTINDWA,-1.2858772,36.8809479,Phishing,male,1
10/3/2021,West Kenya,Kakamega,COPTIC ROUNDABOUT,-0.023559,37.906193,Phishing,male,1
4/15/2020,North Rift,West Pokot,KAPENGURIA,1.2481932,35.1103736,Phishing,male,1
3/14/2020,Nairobi,Nairobi,GM,-1.329676,36.870983,Phishing,male,1
7/28/2021,Central,,Ndarugo area,-1.0931865,37.0321327,Phishing,male,1
8/24/2020,Coast,Kilifi,VIPINGO,-3.8201959,39.7858575,Phishing,male,1
2/27/2021,Nairobi,Nairobi,NEAR GATEWAY MALL,-1.3642102,36.9117918,Phishing,male,1
5/8/2021,Central,Laikipia,SOLIO,-0.023559,37.906193,Phishing,male,1
1/5/2021,West Kenya,Kisumu,PALA PRIMARY SCHOOL,-0.7193509,34.3733306,Phishing,male,1
1/30/2020,West Kenya,Migori,AWENDO,-0.9017152,34.5334534,Phishing,male,1
8/27/2020,South Rift,Nakuru,DUNDORI AREA,-0.2,36.266667,Phishing,male,1
9/18/2020,Lower Eastern,Nairobi,THIKA ROAD,-1.2134454,36.8997048,Phishing,male,1
4/19/2021,West Kenya,Kakamega,LIKUYANI AREA,-0.023559,37.906193,Phishing,male,1
1/13/2022,Lower Eastern,Nairobi,Pangani,-1.2667224,36.8398293,Phishing,male,1
1/25/2021,Lower Eastern,Nairobi,CARWASH,-0.023559,37.906193,Phishing,male,1
2/20/2021,Central,Kirinyaga,DIFATHAS AREA,-0.55,37.4,Phishing,male,1
4/25/2020,Upper Eastern,Marsabit,SOLOLO,3.541985,38.658291,Phishing,male,1
1/25/2021,Coast,Mombasa,NEAR COAST ACADEMY,-0.023559,37.906193,Phishing,male,1
1/17/2020,Nairobi,Nairobi,ALONG MASAI ROAD,-1.3348704,36.8693049,Phishing,male,1
5/9/2021,Upper Eastern,Samburu,0,-0.023559,37.906193,Phishing,male,1
1/9/2021,South Rift,Nakuru,ELDORET-NAKURU HIGHWAY,0.1950182,35.4470794,Phishing,male,1
1/21/2021,Lower Eastern,Nairobi,KAHAWA WEST,-1.1858857,36.9069054,Phishing,male,1
3/22/2021,Lower Eastern,Nairobi,EASTERN BYPASS,-0.023559,37.906193,Phishing,male,1
2/18/2020,Coast,Taita Taveta,MWATATE,-3.5032932,38.3639837,Phishing,male,1
2/8/2020,Nairobi,Nairobi,AIRTEL,-1.3238841,36.8470038,Phishing,male,1
1/5/2021,Lower Eastern,Nairobi,KIAMBU ROAD,-1.1307381,36.7648591,Phishing,male,1
1/19/2021,Lower Eastern,Nairobi,87 JUNCTION,-0.023559,37.906193,Phishing,male,1
3/5/2021,Central,Nyeri,KIRIGU AREA,-1.2991181,36.7038098,Phishing,male,1
2/18/2020,North Rift,Bungoma,MATULO MARKET,0.6073354,34.7354031,Phishing,male,1
6/1/2020,Central,Kiambu,KIAMBU ROAD,-1.1307381,36.7648591,Phishing,male,1
7/15/2021,Coast,Mombasa,HARAMBEE AREA,-1.2806721,36.8761485,Phishing,male,1
2/26/2020,Central,Laikipia,BANTU LODGES,-0.1139562,37.0437238,Phishing,male,1
7/28/2021,South Rift,Nakuru,KIDAWA,-0.023559,37.906193,Phishing,male,1
3/22/2020,Nairobi,Nairobi,BUNYALA ROAD,-1.2991261,36.8266671,Phishing,male,1
1/18/2022,West Kenya,Homa Bay," WI-OBIERO AREA, HOMABAY- NDHIWA ROAD, HOMABAY ",-0.7298697,34.3671172,Phishing,male,1
2/13/2021,South Rift,Nakuru,"MIGAA AREA, MOLO",-1.1310559,36.8445848,Phishing,male,1
7/29/2020,Central,Kiambu,KINUNGI,-0.8038706,36.5323191,Phishing,male,1
3/25/2021,Lower Eastern,Nairobi,STAGE 10,-0.023559,37.906193,Phishing,male,1
1/22/2020,Central,Meru,THIMANGIRI MARKET,-0.023559,37.906193,Phishing,male,1
2/9/2021,Central,Murang’a,RIVER WAJIE,-0.023559,37.906193,Phishing,male,1
8/3/2021,Nairobi,Nairobi,NEAR PANGANI,-1.2667224,36.8398293,Phishing,male,1
2/2/2021,Lower Eastern,Kajiado,KITENGELA,-1.5167072,36.849996,Phishing,male,1
4/3/2021,West Kenya,Kisumu,ORONGO BRIDGE,-0.023559,37.906193,Phishing,male,1
1/19/2020,Central,Kiambu,KISII ESTATE,-1.0633993,37.1271995,Phishing,male,1
5/15/2021,Nairobi,Nairobi,EMBAKASI,-1.3237858,36.8999616,Phishing,male,1
6/20/2021,South Rift,Nyandarua,NYANDARUA,-0.1803855,36.5229641,Phishing,male,1
1/10/2022,Lower Eastern,Machakos," KATHITHYAMAA AREA, MACHAKOS COUNTY",-1.280875,37.3414281,Phishing,male,1
8/7/2021,South Rift,Bomet,ALONG CHEBOLE,-0.7501829,35.21416,Phishing,male,1
2/21/2020,Nairobi,Nairobi,UCHUMI ROUNDABOUT,-1.3175234,36.8237164,Phishing,male,1
6/30/2021,Central,Kiambu,KIMENDE,-0.9814453,36.6323335,Phishing,male,1
6/6/2020,West Kenya,Nyamira,CHABERA,-0.4243591,34.9863139,Phishing,male,1
8/2/2021,Nairobi,Nairobi,KARIOBANGI AREA,-1.240591,36.88044,Phishing,male,1
10/20/2021,Lower Eastern,Machakos,"Salama,Machakos",-1.5176837,37.2634146,Phishing,male,1
7/26/2020,Nairobi,Nairobi,MAKADARA AREA,-1.2952979,36.8721139,Phishing,male,1
1/2/2022,South Rift,Bomet,SACHANGWAN,-0.4529411,35.6929013,Phishing,male,1
10/16/2021,South Rift,Bomet,Chebole - Sotik highway,-0.7501829,35.21416,Phishing,male,1
9/6/2020,Central,Kiambu,MA3ROUTE,-0.023559,37.906193,Phishing,male,1
8/29/2020,Lower Eastern,Kajiado,MATASIA,-0.023559,37.906193,Phishing,male,1
2/1/2021,North Rift,Trans Nzoia,KITALE,1.019089,35.0023048,Phishing,male,1
8/27/2021,West Kenya,Kakamega,WEBUYE,0.5992059,34.779603,Phishing,male,1
5/24/2020,South Rift,Kericho,LONDIAN JUNCTION,-0.1748432,35.620484,Phishing,male,1
7/1/2020,Central,Kiambu,KAMANDURA,-1.1407152,36.6346946,Phishing,male,1
8/22/2020,Nairobi,Nairobi,NAIROBI,-1.2920659,36.8219462,Phishing,male,1
8/19/2021,Coast,Mombasa,MIRITINI,-3.9956146,39.6001247,Phishing,male,1
11/12/2021,Central,Kirinyaga,KERUGOYA,-0.4993281,37.2784835,Phishing,male,1
1/5/2020,Nairobi,Nairobi,MBAGATHI WAY,-1.3086923,36.8045887,Phishing,male,1
9/4/2021,Lower Eastern,Nairobi,Menelik road Nairobi county,-1.2969349,36.7841912,Phishing,male,1
1/22/2022,Lower Eastern,Kajiado,"NGATATAEK, KAJIADO NAMANGA ROAD",-2.3987938,36.8506108,Phishing,male,1
11/13/2020,South Rift,Narok,NAROK-MAI MAHIU ROAD,-1.0994731,36.2716257,Phishing,male,1
6/4/2021,Lower Eastern,Nairobi,SIGNATURE MALL,-1.4170493,36.9534435,Phishing,male,1
3/16/2021,Lower Eastern,Makueni,KIBWEZI,-2.4105236,37.967847,Phishing,male,1
9/23/2020,Coast,Mombasa,MOMBASA-MALINDI ROAD,-3.9920068,39.7328574,Phishing,male,1
2/1/2021,West Kenya,Migori,KOKURO JUNCTION,-0.8505283,34.543354,Phishing,male,1
1/24/2022,West Kenya,Kakamega,Chevaywa along Eldoret-Malaba road,0.5768863,34.8075186,Phishing,male,1
8/11/2020,Nairobi,Nairobi,SOUTHERN BYPASS,-1.3106276,36.7291895,Phishing,male,1
6/15/2020,Central,Kiambu,LIMURU ROAD,-1.1905676,36.7394548,Phishing,male,1
9/30/2021,Nairobi,Nairobi,NAIROBI,-1.2920659,36.8219462,Phishing,male,1
12/4/2021,Lower Eastern,Kitui,Enzui river,-0.023559,37.906193,Phishing,male,1
3/9/2021,Nairobi,Nairobi,NAIROBI,-1.2920659,36.8219462,Phishing,male,1
4/12/2021,Nairobi,Nairobi,NEAR KENYA WINE,-1.2920659,36.8219462,Phishing,male,1
1/18/2021,West Kenya,Migori,MATAFARE,-0.023559,37.906193,Phishing,male,1
3/22/2020,Lower Eastern,Machakos,MAKUTANO JUNCTION,-0.7605463,37.2784835,Phishing,male,1
3/18/2020,Central,Meru,NTHARENE MARKET,-0.1146373,37.6652688,Phishing,male,1
3/10/2021,North Rift,,RIVER KIMININI,0.8935153,34.9258526,Phishing,male,1
5/16/2021,Lower Eastern,Kitui,MAJENGO,-1.2860894,36.8425202,Phishing,male,1
5/14/2021,West Kenya,Kisumu,KISIAN,-0.0748716,34.6662951,Phishing,male,1
4/26/2021,Nairobi,Nairobi,GALLERIA MALL,-1.3434791,36.7659754,Phishing,male,1
4/28/2021,Nairobi,Nairobi,NEAR HUDUMA CENTRE,-1.2908773,36.8253008,Phishing,male,1
4/5/2021,Lower Eastern,Nairobi,KAMAKIS,-0.023559,37.906193,Phishing,male,1
10/26/2021,West Kenya,,MAILI MBILI,-0.023559,37.906193,Phishing,male,1
7/16/2021,Nairobi,Nairobi,LANGÁTA,-1.3640944,36.7476257,Phishing,male,1
11/9/2020,North Rift,Bungoma,WEBUYE-ELDORET HIGHWAY,0.518945,35.272579,Phishing,Female,1
8/24/2021,South Rift,Bomet,KAPKAREN,0.631270818,34.92722858,Phishing,Female,1
1/30/2021,Lower Eastern,Nairobi,MOMBASA ROAD,-2.7316802,38.2171862,Phishing,Female,1
7/7/2020,Lower Eastern,Machakos,NEAR MAANZONI LODGE,-1.5060543,37.0967808,Phishing,Female,1
1/4/2021,Lower Eastern,Nairobi,GITHURAI,-1.2064151,36.913794,Phishing,Female,1
11/28/2020,Coast,Mombasa,NEAR SCHOOLOF LEADERSHIP,-0.023559,37.906193,Phishing,Female,1
4/15/2020,Nairobi,Nairobi,WAIYAKI WAY,-1.2639058,36.7586031,Phishing,Female,1
6/15/2020,Central,Meru,MERU TOWN,0.0514721,37.6456042,Phishing,Female,1
3/2/2021,West Kenya,Kakamega,ALONG MUMIAS,-0.023559,37.906193,Phishing,Female,1
5/21/2021,South Rift,Nakuru,ALONG MAI MAHIU,-0.9820293,36.5864447,Phishing,Female,1
8/2/2021,Nairobi,Nairobi,NAIROBI,-1.2920659,36.8219462,Phishing,Female,1
11/28/2020,South Rift,Nakuru,ALONG GILGIL-NAKURU HIGHWAY,-0.4922735,36.3172993,Phishing,Female,1
10/8/2020,South Rift,Narok,BOMET-RATILI ROAD,-0.7777854,35.3356518,Phishing,Female,1
1/10/2020,Nairobi,Nairobi,KARIOBANGI AREA,-1.240591,36.88044,Phishing,Female,1
7/26/2020,Nairobi,Nairobi,NAIROBI,-1.2920659,36.8219462,Phishing,Female,1
1/26/2020,Central,Kiambu,KIKUYU,-1.2471951,36.6790986,Phishing,Female,1
3/15/2020,Nairobi,Nairobi,SAFARICOM HOUSE,-1.2591667,36.7858333,Phishing,Female,1
4/3/2021,West Kenya,Kisumu,AWASI CENTRE,-0.1616445,35.0732265,Phishing,Female,1
9/4/2020,Nairobi,Nairobi,GITHURAI 45,-1.1981489,36.902406,Phishing,Female,1
4/4/2020,Nairobi,Nairobi,NAIROBI,-1.2920659,36.8219462,Phishing,Female,1
9/16/2020,Lower Eastern,Nairobi,ALONG JOGOO ROAD,-1.2976451,36.8711364,Phishing,Female,1
12/6/2020,Lower Eastern,Kitui,MACHAKOS-KITUI HIGHWAY,-1.4155461,37.6280634,Phishing,Female,1
1/19/2021,Lower Eastern,Nairobi,GENERAL MOTORS,-0.023559,37.906193,Phishing,Female,1
1/2/2022,Central,Murang’a,MUTOHO ALONG MURANG'A-KENOL ROAD,-0.9025912,37.1203333,Phishing,Female,1
10/25/2020,Central,Kiambu,TIGONI,-1.1650793,36.7065057,Phishing,Female,1
7/30/2021,West Kenya,Kisumu,AHERO JUNCTION,-0.1744386,34.9203383,Phishing,Female,1
1/7/2020,Lower Eastern,Makueni,TARDA,-0.023559,37.906193,Phishing,Female,1
7/31/2021,South Rift,Bomet,SACHANGWAN,-0.4529411,35.6929013,Phishing,Female,1
12/17/2020,Coast,Tana River,WENJE,-1.786403,40.09787,Phishing,Female,1
11/7/2020,Central,Kirinyaga,MUTITHI-MWEA ROAD,-0.697813,37.2865073,Phishing,Female,1
1/25/2020,Coast,Kilifi,KWA CHOCHA,-3.2373626,40.0954923,Phishing,Female,1
7/2/2020,Lower Eastern,Kajiado,VANILLAS-EAST AFRICA PORTLAND,-0.023559,37.906193,Phishing,Female,1
7/7/2021,Nairobi,Nairobi,SOUTHERN BYPASS,-1.3106276,36.7291895,Phishing,Female,1
7/29/2020,Central,Murang’a,KAMBITI,-0.8201297,37.2222912,Phishing,Female,1
5/19/2021,South Rift,Nakuru,KARAI,-1.2556684,36.6255869,Phishing,Female,1
1/9/2022,West Kenya,Nakuru,"RTA AT SOGEA, GILGIL, NAKURU COUNTY",-0.4922735,36.3172993,Phishing,Female,1
8/15/2020,West Kenya,Kisumu,KISUMU,-0.0917016,34.7679568,Phishing,Female,1
1/13/2020,Central,Laikipia,SORIOM BRIDGE,-0.023559,37.906193,Phishing,Female,1
1/15/2022,South Rift,Nakuru,MIGAA,-1.1310559,36.8445848,Phishing,Female,1
9/8/2021,Upper Eastern,Mandera,Bulla Dana,-0.023559,37.906193,Phishing,Female,1
6/13/2020,Nairobi,Nairobi,NEAR GM,-1.329676,36.870983,Phishing,Female,1
5/6/2021,Lower Eastern,Nairobi,SOUTHERN BY-PASS,-1.3106276,36.7291895,Phishing,Female,1
1/5/2020,Nairobi,Nairobi,IMARA DAIMA,-1.328436,36.8806499,Phishing,Female,1
5/11/2020,West Kenya,Kisumu,KISUMU-BUSIA ROAD,-0.0833965,34.7504053,Phishing,Female,1
3/20/2021,West Kenya,Homa Bay,ALONG RODI ROAD,-0.023559,37.906193,Phishing,Female,1
6/22/2021,North Rift,Uasin Gishu,ELDORET,0.518945,35.272579,Phishing,Female,1
12/30/2020,South Rift,Nakuru,BORA AREA AND NJORO FARM,-0.3721309,35.9478869,Phishing,Female,1
7/5/2020,Lower Eastern,Machakos,MOMBASA ROAD,-2.7316802,38.2171862,Phishing,Female,1
10/6/2020,Nairobi,Nairobi,NEAR JUBILEE HOUSE,-1.2820148,36.8189219,Phishing,Female,1
8/15/2021,Coast,Lamu,TEWENI AREA,-0.023559,37.906193,Phishing,Female,1
4/6/2020,Central,Embu,MWEA-EMBU HIGHWAY,-0.9347879,37.1423869,Phishing,Female,1
11/15/2020,South Rift,Nakuru,ALONG GILGIL-NAKURU HIGHWAY,-0.4922735,36.3172993,Phishing,Female,1
3/23/2020,Nairobi,Nairobi,KAPA AREA,-1.3114428,36.7828601,Phishing,Female,1
8/5/2020,Lower Eastern,Kajiado,MASHUURU,-2.039246,37.1231788,Phishing,Female,1
3/18/2020,Central,Meru,NTHARENE MARKET,-0.1146373,37.6652688,Phishing,Female,1
3/15/2021,Lower Eastern,Kajiado,ALONG NAMANGA ROAD,-2.5520935,36.7838976,Phishing,Female,1
10/2/2021,West Kenya,Kericho,KAPSUSER,-0.4,35.216667,Phishing,Female,1
2/6/2022,South Rift,Nakuru,"Kikopey area, Gilgil, Nakuru County ",-0.4748399,36.2911753,Phishing,Female,1
1/9/2022,North Rift,Bomet,MEJA AREA,-0.023559,37.906193,Phishing,Female,1
5/29/2020,West Kenya,Kisumu,AHERO,-0.1744386,34.9203383,Phishing,Female,1
3/25/2020,Coast,Mombasa,HIGHWAY SCHOOL,-0.023559,37.906193,Phishing,Female,1
1/7/2020,South Rift,Nakuru,SOKO MJINGA,-0.023559,37.906193,Phishing,Female,1
12/24/2021,South Rift,Nyandarua,OL-KALOU,-0.272699,36.3775152,Phishing,Female,1
3/16/2021,North Rift,Bungoma,KIBISII AREA,-0.023559,37.906193,Phishing,Female,1
5/21/2020,Nairobi,Nairobi,ALONG MOMBASA ROAD,-1.3657592,36.9122536,Phishing,Female,1
10/16/2021,South Rift,Bomet,Bomet - Kablong highway,-0.8015009,35.3027226,Phishing,Female,1
12/26/2020,West Kenya,Kakamega,KAKAMEGA-MUMIAS HIGHWAY,0.3332218,34.4877423,Phishing,Female,1
1/18/2020,South Rift,Nakuru,SANCHANGWAN AREA,-0.4529411,35.6929013,Phishing,Female,1
6/23/2020,Nairobi,Nairobi,KARIOBANGI SOUTH,-1.266457,36.8855854,Phishing,Female,1
2/6/2020,Nairobi,Nairobi,MAMA LUCY HOSPITAL,-1.2727726,36.897288,Phishing,Female,1
6/7/2021,Nairobi,Nairobi,ALONG SOUTHER BYPASS,-1.3106276,36.7291895,Phishing,Female,1
12/12/2021,Coast,Kilifi,RTA AT CHESOROKA ALONG MALINDI- MOMBASA HIGHWAY,-3.9920068,39.7328574,Phishing,Female,1
4/30/2020,Central,Kirinyaga,MAKUTANO-SAGANA HIGHWAY,-0.6695132,37.2061138,Phishing,Female,1
11/14/2021,Nairobi,Nairobi,NEAR NACICO,-1.2874366,36.8373281,Phishing,Female,1
1/9/2020,Lower Eastern,Makueni,KYEMOLE MARKET,-0.023559,37.906193,Phishing,Female,1
4/5/2020,Lower Eastern,Makueni,NEAR SALAMA TOWNSHIP,-0.023559,37.906193,Phishing,Female,1
1/22/2022,Coast,Mombasa,"Bonje, Miritini Area In Mombasa County",-3.9920392,39.5624733,Phishing,Female,1
3/3/2020,Nairobi,Nairobi,ROYSAMBU,-1.2184586,36.8869064,Phishing,Female,1
3/15/2020,Nairobi,Nairobi,ALONG NGONG ROAD,-1.2994605,36.7906854,Phishing,Female,1
1/20/2022,Coast,Mombasa,"KIBARANI, BAMBURI, MOMBASA COUNTY",-4.031532,39.6473004,Phishing,Female,1
7/12/2020,Nairobi,Nairobi,MAKONGENI,-1.2976047,36.8505924,Phishing,Female,1
1/29/2021,South Rift,Nakuru,GILGIL,-0.4922735,36.3172993,Phishing,Female,1
12/8/2020,Lower Eastern,Nairobi,NENO ROUNDABOUT,-0.023559,37.906193,Phishing,Female,1
3/24/2020,North Rift,Uasin Gishu,MARUA AREA,-0.4611842,37.0454009,Phishing,Female,1
7/28/2021,Lower Eastern,Nairobi,MOMBASA RD,-2.7316802,38.2171862,Phishing,Female,1
10/31/2021,West Kenya,Kakamega,LISUI,-0.023559,37.906193,Phishing,Female,1
12/5/2021,Lower Eastern,Kitui,"NUU AREA, MWINGI, KITUI COUNTY",-0.937411,38.0605006,Phishing,Female,1
2/5/2022,South Rift,Bomet,MOTIGO,-0.7450794,35.3845069,Phishing,Female,1
8/21/2020,West Kenya,Nyamira,OMONONO,-0.6132505,34.9892412,Phishing,Female,1
1/23/2022,North Eastern,Mandera,QARSADAMU,-0.023559,37.906193,Phishing,Female,1
1/10/2020,Lower Eastern,Makueni,MAKINDU- WOTE ROAD,-2.0332155,37.7683954,Phishing,Female,1
1/8/2020,Nairobi,Nairobi,MUTHAIGA,-1.2500849,36.8213209,Phishing,Female,1
6/27/2021,Nairobi,Nairobi,SOTIK,-1.2996238,36.8272831,Phishing,Female,1
11/21/2020,Central,Kiambu,MASHAMANI,-0.023559,37.906193,Phishing,Female,1
3/16/2020,Coast,Mombasa,MOMBASA,-4.0434771,39.6682065,Phishing,male,1
10/5/2020,Nairobi,Nairobi,PIPELINE,-1.2499889,36.8546282,Phishing,male,1
12/28/2020,West Kenya,Siaya,BONDO-USENGE HIGHWAY,-0.0572896,34.1528283,Phishing,male,1
3/17/2020,South Rift,Kericho,SOLIAT CENTRE,-0.3143166,35.1158754,Phishing,male,1
9/7/2020,Central,Kirinyaga,KIRINYAGA TOWN,-0.2173648,37.1111153,Phishing,male,1
6/17/2021,Nairobi,Nairobi,KAHAWA,-1.183333,36.9166669,Phishing,male,1
10/10/2020,Nairobi,Nairobi,ALONG NGONG ROAD,-1.2994605,36.7906854,Phishing,male,1
11/3/2020,West Kenya,Kisumu,KASAGAN,-0.023559,37.906193,Phishing,male,1
6/4/2021,Lower Eastern,Machakos,NEAR SIGNATURE MALL,-1.4170493,36.9534435,Phishing,male,1
10/17/2020,Coast,Kwale,TARU,-3.734468,39.152779,Phishing,male,1
7/19/2020,West Kenya,Kisumu,KISUMU,-0.0917016,34.7679568,Phishing,male,1
8/24/2020,Lower Eastern,Kajiado,KITENGELA,-1.5167072,36.849996,Phishing,male,1
2/5/2020,Central,Kiambu,NEAR MUKIRITI,-1.0382735,37.078889,Phishing,male,1
4/2/2021,Nairobi,Nairobi,NAIROBI,-1.2920659,36.8219462,Phishing,male,1
5/29/2020,Nairobi,Nairobi,CHIROMO ROAD,-1.2704258,36.8073694,Phishing,male,1
1/1/2020,Nairobi,Nairobi,KIBERA AREA,-1.3114845,36.7879475,Phishing,male,1
4/29/2021,Coast,Mombasa,KIBARANI AREA,-4.031532,39.6473004,Phishing,male,1
3/30/2021,Nairobi,Nairobi,NEXGEN MALL,-1.3237712,36.8440354,Phishing,male,1
9/17/2020,Lower Eastern,Nairobi,NEAR LANG'ATA ROAD TURN,-1.3362692,36.7757822,Phishing,male,1
1/9/2021,South Rift,Nakuru,ELDORET-NAKURU HIGHWAY,0.1950182,35.4470794,Phishing,male,1
